srcip,src_port,dstip,dst_port,protocol_type,flag,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smean,dmean,trans_depth,response_body_len,sjit,djit,timestamp,Ltime,sinpkt,dinpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label,is_attack,attack_subcat,rate,hour,day_part,duration_from_times,id
,,,,tcp,FIN,4.031314,26806,814,254,252,13,3,-,51631.80078,1516.130981,34,16,255,255,2451686553,3748906924,788,51,0,0,14204.71808,524.3465,,,122.161034,258.531,0.187566,0.152578,0.034988,0,1,0.0,0.0,0.0,3,3,1,2,1,1,2,Normal,0,,,12.154846,,,,30880.0
,,,,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,5,5,4,3,3,3,3,Generic,1,,,250000.0006,,,,64201.0
,,,,tcp,FIN,1.029066,2160,556,254,252,5,3,-,15742.43066,3894.793945,16,10,255,255,3062583785,368277432,135,56,0,0,3585.583404,157.824219,,,66.235134,108.179664,0.119216,0.05544,0.063776,0,1,0.0,0.0,0.0,4,4,1,1,1,1,4,Normal,0,,,24.293875,,,,41863.0
,,,,udp,INT,1e-05,104,0,254,0,0,0,-,41600000.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,,,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,5,4,1,2,1,1,4,Fuzzers,1,,,100000.0025,,,,106197.0
149.171.126.18,1043.0,175.45.176.1,53.0,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424238937.0,1424238937.0,0.003,0.0,0.0,0.0,0.0,0,0,,,0.0,11,11,9,9,9,9,11,unknown,0,0.0,unknown,87970676.44118626,5.0,night,0.0,
59.166.0.7,32984.0,149.171.126.9,53.0,udp,CON,0.000941,130,162,31,29,0,0,dns,552603.625,688629.125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421959305.0,1421959305.0,0.001,0.007,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5,4,3,6,2,1,1,unknown,0,0.0,unknown,310307.8530203475,20.0,evening,0.0,
,,,,udp,REQ,0.0,1504,0,255,0,0,0,-,0.0,0.0,1,0,0,0,0,0,1504,0,0,0,12.990111,0.0,,,84371.496,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6,6,4,3,3,1,4,Fuzzers,1,,,0.0,,,,119698.0
,,,,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,5,5,1,10,1,1,5,Exploits,1,,,111111.1072,,,,2920.0
,,,,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,10.954502,0.0,,,60000.552,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,2,2,2,2,2,2,2,Normal,0,,,0.0,,,,108344.0
,,,,tcp,FIN,0.851645,2934,3742,31,29,11,15,ftp,27034.73828,34502.64063,52,54,255,255,449429665,2600031263,56,69,0,0,1593.583386,53.341609,,,16.69296,16.058566,0.000677,0.000534,0.000143,0,0,0.0,1.0,1.0,1,1,5,5,1,1,4,Normal,0,,,123.290809,,,,24638.0
,,,,tcp,FIN,0.667368,564,354,254,252,2,1,-,6089.59375,3716.09082,10,8,255,255,2781332383,4013544591,56,44,0,0,5450.195183,136.591312,,,74.152,93.739141,0.016439,0.010495,0.005944,0,1,0.0,0.0,0.0,1,1,1,3,1,1,1,Reconnaissance,1,,,25.473202,,,,273.0
,,,,tcp,FIN,1.470918,1454,156043,62,252,2,59,http,7608.853516,841727.375,26,122,255,255,381771040,1884593318,56,1279,1,75323,2882.354781,1443.407619,,,58.83672,11.654785,0.123421,0.060001,0.06342,0,1,1.0,0.0,0.0,1,1,2,1,1,1,1,DoS,1,,,99.937586,,,,78892.0
,,,,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,26,26,17,17,17,17,26,Generic,1,,,166666.6608,,,,173859.0
59.166.0.9,49198.0,149.171.126.5,47972.0,tcp,FIN,0.006863,4328,2456,31,29,7,7,-,4765263.0,2704356.75,18,18,255,255,2431911629,289225141,240,136,0,0,19.356489,0.599886,1421969309.0,1421969309.0,0.384765,0.371471,0.000687,0.000547,0.00014,0,0,0.0,0.0,0.0,15,11,5,5,1,1,3,unknown,0,0.0,unknown,988488.8549484401,23.0,evening,0.0,
,,,,tcp,FIN,8.120201,25160,1094788,31,29,38,390,-,24732.39258,1077326.0,448,858,255,255,3506363943,1404509757,56,1276,0,0,7341.424623,5289.202268,,,18.206038,9.474505,0.000675,0.00054,0.000135,0,0,0.0,0.0,0.0,9,10,5,4,1,1,6,Normal,0,,,160.710305,,,,25110.0
,,,,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,33,33,25,25,25,25,33,Generic,1,,,111111.1072,,,,19626.0
,,,,udp,INT,9e-06,1588,0,254,0,0,0,-,705777728.0,0.0,2,0,0,0,0,0,794,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,5,4,1,1,1,1,1,Fuzzers,1,,,111111.1072,,,,64256.0
,,,,sprite-rpc,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,7,7,3,3,3,3,7,Generic,1,,,111111.1072,,,,171374.0
,,,,tcp,FIN,0.464754,574,268,254,252,2,1,-,8899.332031,3855.803467,10,6,255,255,3890483461,2242431403,57,45,0,0,2715.301524,101.057703,,,51.546556,69.183398,0.189426,0.118834,0.070592,0,1,0.0,0.0,0.0,10,4,2,3,3,1,4,Normal,0,,,32.27514,,,,79518.0
,,,,udp,CON,0.001058,130,162,31,29,0,0,dns,491493.375,612476.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,,,0.009,0.006,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,6,3,6,2,2,3,Normal,0,,,2835.538689,,,,37834.0
,,,,idpr-cmtp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,6,6,2,2,2,2,7,Exploits,1,,,111111.1072,,,,56478.0
,,,,tcp,FIN,1.104523,68185,612,254,252,27,1,-,485632.2813,4121.236328,60,14,255,255,1920032818,2284779160,1136,44,1,0,1843.505259,99.558937,,,18.720729,76.102383,0.22722,0.1144,0.11282,0,1,1.0,0.0,0.0,1,1,19,1,1,1,1,Fuzzers,1,,,66.091882,,,,96746.0
,,,,udp,CON,0.289242,568,312,31,29,0,0,-,11782.52148,6472.089355,4,4,0,0,0,0,142,78,0,0,89.578406,129.584391,,,63.347,91.632,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7,4,2,6,1,1,4,Normal,0,,,24.201188,,,,32934.0
,,,,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,32,32,28,30,28,16,32,Generic,1,,,166666.6608,,,,12777.0
,,,,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,28,28,16,16,16,16,28,Generic,1,,,125000.0003,,,,172779.0
,,,,tcp,FIN,1.315774,1684,10168,31,29,3,5,http,9509.232422,58393.00781,14,18,255,255,1806750704,1844996743,120,565,1,3924,8957.417116,7842.030307,,,101.185151,77.366412,0.000669,0.000541,0.000128,0,0,4.0,0.0,0.0,5,4,5,5,2,2,3,Normal,0,,,23.560278,,,,34450.0
,,,,tcp,FIN,0.951636,564,354,254,252,2,1,-,4270.540527,2606.03833,10,8,255,255,3204604892,2942979069,56,44,0,0,6577.92702,169.381703,,,100.238889,119.37757,0.241407,0.11599,0.125417,0,1,0.0,0.0,0.0,1,1,1,1,1,1,2,Reconnaissance,1,,,17.863973,,,,113727.0
,,,,udp,CON,0.001034,146,178,31,29,0,0,dns,564796.9375,688588.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,,,0.009,0.007,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,1,3,2,1,1,1,Normal,0,,,2901.354085,,,,35307.0
,,,,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,,,60000.732,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,2,2,2,2,2,2,2,Normal,0,,,0.0,,,,28638.0
,,,,udp,CON,0.001166,146,178,31,29,0,0,dns,500857.625,610634.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,,,0.005,0.006,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,1,4,3,2,1,1,Normal,0,,,2572.898731,,,,30372.0
,,,,tcp,FIN,0.757698,746,2292,62,252,2,2,http,7095.175293,21781.76563,10,10,255,255,4015320509,3203158253,75,229,1,704,5370.831461,120.273352,,,84.188667,72.734109,0.146318,0.102467,0.043851,0,1,1.0,0.0,0.0,2,1,1,2,2,1,1,Exploits,1,,,25.075954,,,,98055.0
,,,,unas,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,2,2,1,4,1,1,2,Exploits,1,,,166666.6608,,,,134695.0
149.171.126.18,47439.0,175.45.176.3,53.0,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424230515.0,1424230515.0,0.009,0.0,0.0,0.0,0.0,0,0,,,0.0,51,51,51,51,51,35,51,unknown,0,0.0,unknown,29330074.436173756,3.0,night,0.0,
,,,,pim,INT,1.325143,480,0,254,0,0,0,-,2535.575439,0.0,8,0,0,0,0,0,60,0,0,0,422.259813,0.0,,,189.306141,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,2,2,1,1,1,1,2,Reconnaissance,1,,,5.282449,,,,104311.0
,,,,ospf,INT,2.075585,2688,0,254,0,0,0,-,10113.77539,0.0,42,0,0,0,0,0,64,0,0,0,55.667926,0.0,,,50.624023,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,1,1,1,1,1,1,1,Fuzzers,1,,,19.753468,,,,59747.0
,,,,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,,,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,7,7,3,4,3,3,7,Analysis,1,,,333333.3215,,,,143981.0
59.166.0.2,61815.0,149.171.126.3,13904.0,tcp,FIN,0.004421,8928,320,31,29,4,1,ftp-data,15002941.0,483148.625,14,6,255,255,2466568288,331959504,638,53,0,0,17.403856,1.192628,1421967416.0,1421967416.0,0.340077,0.7594,0.000615,0.000483,0.000132,0,0,0.0,0.0,0.0,3,3,6,7,1,1,5,unknown,0,0.0,unknown,2091833.9534417659,22.0,evening,0.0,
,,,,tcp,FIN,0.293786,484,268,254,252,2,1,-,11872.58789,6099.678223,10,6,255,255,3484121606,1729566195,48,45,0,0,1693.367132,88.148281,,,31.209111,52.330398,0.057849,0.03213,0.025719,0,1,0.0,0.0,0.0,13,13,2,3,2,1,2,Fuzzers,1,,,51.057574,,,,43702.0
,,,,tcp,FIN,0.150966,5174,83812,31,29,7,39,-,271160.375,4393095.0,90,92,255,255,4290632823,2141361561,57,911,0,0,109.67106,104.233217,,,1.692247,1.671067,0.000696,0.000561,0.000135,0,0,0.0,0.0,0.0,3,11,2,1,1,1,1,Normal,0,,,1198.94543,,,,9147.0
,,,,udp,INT,5e-06,168,0,254,0,0,0,-,134400000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,,,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,8,1,1,1,1,1,1,Reconnaissance,1,,,200000.0051,,,,58295.0
,,,,udp,CON,0.001119,130,162,31,29,0,0,dns,464700.625,579088.4375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,,,0.01,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,2,3,6,2,2,2,Normal,0,,,2680.965094,,,,8119.0
,,,,tcp,FIN,3.275916,6750,576,254,252,5,3,-,15455.8291,1267.431763,16,10,255,255,857777469,1435114060,422,58,0,0,19063.61119,672.00325,,,218.3944,348.155344,0.176657,0.077687,0.09897,0,1,0.0,0.0,0.0,2,2,1,1,1,1,2,DoS,1,,,7.631453,,,,129713.0
,,,,tcp,FIN,0.037921,3718,49932,31,29,7,24,-,771920.5625,10358377.0,62,60,255,255,1594195518,3744080671,60,832,0,0,35.771377,0.991301,,,0.616525,0.632492,0.000726,0.000594,0.000132,0,0,0.0,0.0,0.0,12,4,2,8,1,1,2,Normal,0,,,3190.8441,,,,23076.0
,,,,tcp,FIN,0.176183,1204,268,254,252,2,1,-,49221.54688,10171.24219,10,6,255,255,784789055,3127117422,120,45,0,0,1044.618588,37.349078,,,18.334778,24.5694,0.085056,0.053327,0.031729,0,1,0.0,0.0,0.0,9,9,4,6,4,1,9,Fuzzers,1,,,85.138748,,,,52152.0
,,,,tcp,FIN,1.587482,776,354,254,252,2,1,http,3522.55957,1562.222412,10,8,255,255,1892187787,939164492,78,44,0,0,10192.87777,410.791625,,,174.652111,212.819859,0.201653,0.09774,0.103913,0,1,0.0,0.0,0.0,2,1,1,3,1,1,1,Exploits,1,,,10.708783,,,,96317.0
,,,,tcp,FIN,1.23157,706,354,254,252,2,1,-,4131.312012,2013.689819,10,8,255,255,1909257594,2896636526,71,44,0,0,8263.413956,342.308594,,,135.375889,168.426859,0.11548,0.052578,0.062902,0,1,0.0,0.0,0.0,3,2,2,3,2,2,2,Fuzzers,1,,,13.803519,,,,94480.0
175.45.176.0,0.0,149.171.126.17,0.0,unas,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251679.0,1424251679.0,0.007,0.0,0.0,0.0,0.0,0,2,,,0.0,1,1,1,1,1,1,1,DoS,1,1.0, TCP,28567347.521782603,9.0,morning,0.0,
59.166.0.7,1320.0,149.171.126.7,17503.0,tcp,FIN,0.022774,2750,27602,31,29,7,16,-,944234.6875,9485203.0,44,46,255,255,1844365054,1856055413,63,600,0,0,0.0,33.141331,1421933642.0,1421933642.0,0.521512,0.5065,0.000616,0.000484,0.000132,0,0,0.0,0.0,0.0,6,9,4,4,1,1,1,unknown,0,0.0,unknown,1332747.8118579164,13.0,afternoon,0.0,
,,,,tcp,FIN,0.196936,2410,268,254,252,2,1,http,88109.84375,9099.40332,10,6,255,255,1887388645,2947773962,241,45,1,0,1110.428228,52.374141,,,20.120556,35.701,0.03289,0.018425,0.014465,0,1,1.0,0.0,0.0,1,1,1,2,1,1,1,Exploits,1,,,76.166878,,,,97331.0
,,,,udp,INT,3e-06,104,0,254,0,0,0,-,138666656.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,,,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,1,1,1,1,1,1,1,Fuzzers,1,,,333333.3215,,,,95443.0
175.45.176.1,0.0,149.171.126.10,0.0,any,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237318.0,1424237318.0,0.004,0.0,0.0,0.0,0.0,0,2,,,0.0,3,3,1,1,1,1,4, Fuzzers ,1,1.0, OSPF,49987503.12421895,5.0,night,0.0,
,,,,tcp,FIN,0.034961,4550,72810,31,29,7,33,-,1027888.188,16452619.0,78,80,255,255,2715719169,2720207406,58,910,0,0,23.474547,23.396119,,,0.455553,0.440936,0.000687,0.000559,0.000128,0,0,0.0,0.0,0.0,9,5,3,3,1,1,4,Normal,0,,,4490.718218,,,,9522.0
,,,,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,25,25,16,17,16,16,25,Generic,1,,,333333.3215,,,,155635.0
,,,,tcp,FIN,0.209881,2542,23508,31,29,7,14,-,94491.64063,874743.3125,40,42,255,255,218743008,2597879242,64,560,0,0,0.0,330.429918,,,5.373103,5.104854,0.000715,0.000578,0.000137,0,0,0.0,0.0,0.0,9,6,1,2,1,1,2,Normal,0,,,385.932994,,,,33209.0
,,,,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,,,60000.712,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,2,2,2,2,2,2,2,Normal,0,,,0.0,,,,109304.0
,,,,tcp,FIN,0.459071,1222,268,254,252,2,1,-,19169.14844,3903.535645,10,6,255,255,1126889810,154520994,122,45,0,0,2513.521821,123.43007,,,51.007889,79.635398,0.124505,0.060112,0.064393,0,1,0.0,0.0,0.0,9,6,2,3,1,1,5,Normal,0,,,32.674684,,,,78081.0
,,,,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,26,26,17,17,17,17,26,Generic,1,,,333333.3215,,,,169240.0
,,,,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,26,26,12,12,12,12,26,Generic,1,,,111111.1072,,,,161725.0
,,,,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,32,32,18,17,16,16,32,Generic,1,,,111111.1072,,,,127078.0
,,,,tcp,FIN,0.542041,2516,268,254,252,2,1,-,33429.20703,3306.022949,10,6,255,255,3541934934,440565461,252,45,0,0,3113.571052,157.742312,,,60.226778,95.525602,0.127418,0.063507,0.063911,0,1,0.0,0.0,0.0,2,2,1,1,1,1,2,Normal,0,,,27.673183,,,,42439.0
,,,,tcp,FIN,0.869607,2934,3740,31,29,11,15,ftp,26476.32813,33771.57813,52,54,255,255,3600006759,3605200074,56,69,0,0,1786.673064,53.683703,,,17.741001,16.39749,0.000675,0.000536,0.000139,0,0,0.0,1.0,1.0,1,1,5,2,1,1,5,Normal,0,,,120.744202,,,,16027.0
,,,,tcp,FIN,0.876238,910,354,254,252,2,1,-,7477.42041,2830.28125,10,8,255,255,316697178,344588940,91,44,0,0,5938.807344,160.739594,,,97.359778,111.115859,0.159914,0.097719,0.062195,0,1,0.0,0.0,0.0,4,2,1,2,1,1,2,Normal,0,,,19.401122,,,,84506.0
,,,,tcp,FIN,0.840057,19723,1786,254,252,14,8,smtp,182301.9063,16236.99316,34,22,255,255,928049199,1495003705,580,81,0,0,1601.932181,46.89977,,,25.456272,39.334855,0.055123,0.008784,0.046339,0,1,0.0,0.0,0.0,2,1,1,1,1,1,1,Exploits,1,,,65.471747,,,,116585.0
175.45.176.1,0.0,149.171.126.17,0.0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244433.0,1424244433.0,0.009,0.0,0.0,0.0,0.0,0,2,,,0.0,4,4,3,3,2,2,6, Reconnaissance ,1,1.0, ICMP,22219753.360737693,7.0,morning,0.0,
,,,,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,29,29,18,18,18,18,29,Generic,1,,,200000.0051,,,,133681.0
,,,,tcp,FIN,0.701185,534,268,254,252,2,1,-,5487.853027,2555.673584,10,6,255,255,3073776573,2063965249,53,45,0,0,3997.544645,207.624672,,,73.016333,124.876797,0.147137,0.076798,0.070339,0,1,0.0,0.0,0.0,2,2,2,2,2,1,2,Fuzzers,1,,,21.392358,,,,47619.0
,,,,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,34,34,20,20,20,20,34,Generic,1,,,111111.1072,,,,22089.0
,,,,udp,INT,4e-06,880,0,254,0,0,0,-,880000000.0,0.0,2,0,0,0,0,0,440,0,0,0,0.0,0.0,,,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,6,5,1,1,1,1,5,Fuzzers,1,,,250000.0006,,,,64361.0
,,,,tcp,FIN,0.23733,454,410,254,252,2,2,-,13786.70996,12101.29297,10,8,255,255,3687079166,3719285376,45,51,0,0,1410.315962,45.352527,,,24.586667,32.85143,0.052832,0.007362,0.04547,0,1,0.0,0.0,0.0,2,1,1,1,1,1,1,Backdoor,1,,,71.630218,,,,95065.0
,,,,tcp,FIN,0.659781,774,556,254,252,4,3,-,8718.044922,6074.743164,14,10,255,255,4118693746,1724204527,55,56,0,0,2582.797298,90.236664,,,49.580922,64.282,0.171282,0.081242,0.09004,0,1,0.0,0.0,0.0,5,4,2,3,2,1,2,Fuzzers,1,,,34.860053,,,,58897.0
,,,,tcp,FIN,3.038062,1244,1654,62,252,7,9,ftp,3141.476318,4157.913574,24,22,255,255,3460881704,1077889160,52,75,0,0,6688.892748,7882.764013,,,132.047606,137.711954,0.295201,0.146103,0.149098,0,1,0.0,1.0,1.0,1,1,1,1,1,1,2,Exploits,1,,,14.812074,,,,11563.0
59.166.0.3,36128.0,149.171.126.3,80.0,tcp,FIN,1.007666,1580,10168,31,29,3,5,http,11503.81152,76247.48438,12,18,255,255,4287806234,4293058837,132,565,1,3924,9530.249215,7675.612303,1424227636.0,1424227637.0,91.575089,59.243826,0.000613,0.000494,0.000119,0,0,1.0,,0.0,1,1,4,3,1,1,1,unknown,0,0.0,unknown,11658.624969326518,2.0,night,1.0,
,,,,udp,INT,7e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,,,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,26,26,20,20,20,20,26,Generic,1,,,142857.1409,,,,12764.0
,,,,tcp,FIN,0.531132,534,268,254,252,2,1,-,7244.903809,3373.926025,10,6,255,255,3145462027,2862362025,53,45,0,0,2978.558328,127.985352,,,58.920444,80.042203,0.200355,0.130919,0.069436,0,1,0.0,0.0,0.0,4,4,1,1,1,1,4,Fuzzers,1,,,28.241568,,,,151541.0
